Feature,Present (1) or Absent (0)
isAppliedWithinDomain,1
hasPurpose,1
hasCapability,1
usesTechnique,1
producesOutput,1
hasComponent,0
hasRisk,1
isRiskSourceFor,1
hasConsequence,1
hasImpact,1
hasImpactOnArea,1
hasImpactOnStakeholder,1
modifiesEvent,0
detectsEvent,0
eliminatesEvent,0
mitigatesEvent,0
isFollowedByControl,0
isPartOfControl,0
hasDocumentation,1
conformsToStandard,0
hasStakeholder,1
isProvidedBy,1
isUsedBy,1
hasAISubject,1
affects,1
hasVersion,1
hasSeverity,1
hasLikelihood,1
hasLifecyclePhase,1
