incidentNo,hasName,hasDescription,fromPerspectiveOf,forStakeholder,forOutcome,hasImportance,intendedImpact,hasLikelihood,hasConsequence,hasMitigation,hasCatchmentArea
1,1,1,0,0,0,1,1,1,1,1,1
2,1,1,0,0,0,1,1,1,1,1,1
3,1,1,0,0,0,1,1,1,1,1,0
4,1,1,0,0,0,1,1,1,1,1,1
5,1,1,0,0,0,1,1,1,1,1,1
6,1,1,0,0,0,1,1,1,1,1,0
7,1,1,0,0,0,1,1,1,1,1,1
8,1,1,0,0,0,1,1,1,1,1,1
9,1,1,0,0,0,1,1,1,1,1,0
10,1,1,0,0,0,1,1,1,1,1,1
11,1,1,0,0,0,1,1,1,1,1,1
12,1,1,0,0,0,1,1,1,1,1,1
13,1,1,0,0,0,1,1,1,1,1,1
14,1,1,0,0,0,1,1,1,1,1,1
15,1,1,0,0,0,1,1,1,1,1,1
16,1,1,0,0,0,1,1,1,1,1,1
17,1,1,0,0,0,1,1,1,1,1,1
18,1,1,0,0,0,1,1,1,1,1,1
19,1,1,0,0,0,1,1,1,1,1,1
20,1,1,0,0,0,1,1,1,1,1,1
21,1,1,0,0,0,1,1,1,1,1,1
22,1,1,0,0,0,1,1,1,1,1,1
23,1,1,0,0,0,1,1,1,1,1,0
24,1,1,0,0,0,1,1,1,1,1,1
25,1,1,0,0,0,1,1,1,1,1,0
26,1,1,0,0,0,1,1,1,1,1,1
27,1,1,0,0,0,1,1,1,1,1,1
28,1,1,0,0,0,1,1,1,1,1,1
29,1,1,0,0,0,1,1,1,1,1,0
30,1,1,0,0,0,1,1,1,1,1,1
31,1,1,0,0,0,1,1,1,1,1,1
32,1,1,0,0,0,1,1,1,1,1,1
33,1,1,0,0,0,1,1,1,1,1,1
34,1,1,0,0,0,1,1,1,1,1,1
35,1,1,0,0,0,1,1,1,1,1,0
36,1,1,0,0,0,1,1,1,1,1,1
37,1,1,0,0,0,1,1,1,1,1,0
38,1,1,0,0,0,1,1,1,1,1,0
39,1,1,0,0,0,1,1,1,1,1,0
40,1,1,0,0,0,1,1,1,1,1,0
41,1,1,0,0,0,1,1,1,1,1,0
42,1,1,0,0,0,1,1,1,1,1,0
43,1,1,0,0,0,1,1,1,1,1,1
44,1,1,0,0,0,1,1,1,1,1,0
45,1,1,0,0,0,1,1,1,1,1,0
46,1,1,0,0,0,1,1,1,1,1,0
47,1,1,0,0,0,1,1,1,1,1,0
48,1,1,0,0,0,1,1,1,1,1,1
49,1,1,0,0,0,1,1,1,1,1,1
50,1,1,0,0,0,1,1,1,1,1,1
