incidentNo,domain,purpose,output,risk,consequence,impact,stakeholder,mitigation,severity
1,1,1,2,2,2,2,2,2,0
2,0,0,2,1,2,1,1,2,2
3,0,1,2,2,2,1,0,2,2
4,0,1,1,2,2,2,2,2,0
5,0,0,2,2,2,2,2,2,0
6,0,0,2,2,2,1,1,2,0
7,0,1,0,0,2,0,2,2,0
8,0,1,2,2,0,1,2,1,0
9,0,2,2,2,2,1,2,0,0
10,0,1,2,2,2,2,2,2,0
11,0,1,1,2,2,0,2,0,0
12,0,1,1,2,0,0,2,2,0
13,0,2,0,2,0,2,2,0,0
14,0,1,1,2,2,0,2,2,1
15,0,0,1,2,2,2,2,1,0
16,1,0,1,2,2,2,2,1,0
17,0,1,0,2,0,2,2,2,0
18,0,2,2,2,0,2,2,2,0
19,0,0,0,2,0,2,2,2,0
20,0,1,2,2,2,1,1,2,2
21,0,1,2,2,2,2,1,2,2
22,0,2,2,2,0,2,2,0,2
23,1,1,2,2,2,2,2,2,0
24,0,1,2,2,2,2,2,2,0
25,0,2,2,2,2,2,2,0,2
26,0,1,1,2,0,0,1,0,0
27,1,1,1,2,2,2,2,0,0
28,0,1,0,2,2,2,1,2,2
29,0,1,1,2,2,1,2,2,2
30,0,1,2,2,2,2,2,2,2
31,0,1,2,2,2,0,2,2,2
32,0,1,1,2,2,0,2,2,2
33,0,2,2,2,2,2,1,2,2
34,0,1,1,2,0,1,2,2,2
35,1,2,2,2,2,2,2,0,1
36,0,2,1,2,2,2,2,2,2
37,0,1,0,0,2,1,2,2,2
38,0,1,2,2,2,2,2,1,2
39,0,2,0,2,2,2,2,1,2
40,0,0,0,2,2,0,2,2,2
41,0,0,2,2,2,2,2,2,2
42,0,2,2,2,2,1,2,2,2
43,0,1,1,2,2,2,2,2,2
44,0,2,0,2,2,0,2,2,2
45,0,2,1,2,2,1,2,2,2
46,0,1,0,2,2,2,2,2,1
47,0,1,0,2,2,2,2,2,2
48,1,0,2,2,2,0,2,1,2
49,0,2,0,2,2,2,2,2,2
50,0,1,2,2,0,2,1,2,2
